******0.988043	0.924567 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985025	0.904179 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.983775	0.905708 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.984675	0.909786 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98517	0.909276 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985718	0.913354 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985341	0.909276 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.986858	0.915392 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:28:26, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:28:26, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.985739	0.914447 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.984938	0.913422 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.988898	0.926742 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985834	0.912398 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985201	0.912398 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985621	0.917008 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.986292	0.914447 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.986776	0.916496 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.985898	0.911373 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98748	0.917008 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:28:33, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:28:33, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.987075	0.917611 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.986179	0.917611 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.990156	0.930484 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.987014	0.922245 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.986783	0.918126 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.986928	0.92379 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98747	0.922245 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.988022	0.923275 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.987138	0.92379 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.98885	0.92276 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:28:40, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:33:56, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******1	0 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******1	0 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:34:00, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:34:00, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.796999	0.624368 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.562349	0.524267 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.689081	0.605662 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.692591	0.559151 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.716199	0.611729 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.744787	0.605157 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.686979	0.634985 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.578896	0.552073 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.667544	0.5182 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.659212	0.574317 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:34:05, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:34:05, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.789453	0.693009 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.599813	0.539514 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.7189	0.641844 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.825585	0.743668 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.74532	0.66616 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.835237	0.647923 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.75122	0.610436 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.816623	0.708207 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.783759	0.558764 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.641427	0.596251 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:34:10, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:34:11, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.831082	0.741117 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.696548	0.620305 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.772901	0.690355 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
******0.809606	0.7 @ round=4, C=1, lambda_L=1, lambda_D=1, thr=0
******0.71801	0.66802 @ round=5, C=1, lambda_L=1, lambda_D=1, thr=0
******0.805466	0.718782 @ round=6, C=1, lambda_L=1, lambda_D=1, thr=0
******0.777365	0.73401 @ round=7, C=1, lambda_L=1, lambda_D=1, thr=0
******0.823421	0.717766 @ round=8, C=1, lambda_L=1, lambda_D=1, thr=0
******0.855854	0.707107 @ round=9, C=1, lambda_L=1, lambda_D=1, thr=0
******0.712042	0.664975 @ round=10, C=1, lambda_L=1, lambda_D=1, thr=0
<==========  END @ 29-Nov-2012 10:34:16, C = 1, lambda_L = 1, lambda_D = 1, thr = 0, beta = 10000 ============>
<==========  BEGIN @ 29-Nov-2012 10:34:16, C = 1, lambda_L = 1, lambda_D = 1 , thr = 0, beta = 10000============>
******0.901132	0.815494 @ round=1, C=1, lambda_L=1, lambda_D=1, thr=0
******0.759527	0.67737 @ round=2, C=1, lambda_L=1, lambda_D=1, thr=0
******0.833828	0.748216 @ round=3, C=1, lambda_L=1, lambda_D=1, thr=0
